iter	Logloss
0	0.6108414016
1	0.5647534761
2	0.5432776987
3	0.5176951875
4	0.5042678173
5	0.4919242957
6	0.4843421104
7	0.4717496588
8	0.462080268
9	0.45577597
10	0.450500741
11	0.444196177
12	0.4366399133
13	0.4320489221
14	0.4289131625
15	0.4242700386
16	0.4208943688
17	0.4172436624
18	0.4145148203
19	0.4115066737
20	0.4086025867
21	0.4053481487
22	0.4027044714
23	0.3995342458
24	0.3973370941
25	0.3953576206
26	0.3919659253
27	0.3892003233
28	0.3873019098
29	0.3851036796
30	0.3835509249
31	0.3819321784
32	0.3788504679
33	0.3769321881
34	0.3740756853
35	0.3725358946
36	0.3713157427
37	0.3690507207
38	0.3670629146
39	0.3645374346
40	0.3628761799
41	0.3597663069
42	0.3562362194
43	0.3532674248
44	0.3505645478
45	0.348086207
46	0.3465242803
47	0.3440568219
48	0.3422859107
49	0.3406247175
50	0.3388268146
51	0.3374009252
52	0.3355358162
53	0.3339036939
54	0.332232568
55	0.3307277788
56	0.3290267511
57	0.3274014936
58	0.3255005531
59	0.3228235001
60	0.3213669453
61	0.3199318607
62	0.3182145116
63	0.3168072344
64	0.3153628053
65	0.3134699026
66	0.3114861783
67	0.3097370262
68	0.308610383
69	0.3070619906
70	0.3059988615
71	0.3047715495
72	0.3034097687
73	0.3023097204
74	0.3009648709
75	0.2997990868
76	0.2987783731
77	0.2976891646
78	0.2965161076
79	0.2954159131
80	0.2946569351
81	0.2935904389
82	0.2912589962
83	0.2900986245
84	0.2893733521
85	0.2881114605
86	0.2868332733
87	0.285716837
88	0.2844750661
89	0.2837427217
90	0.2827478912
91	0.2819900543
92	0.2809799118
93	0.280166721
94	0.2794734681
95	0.2784788044
96	0.2775335756
97	0.2767681264
98	0.2760429377
99	0.2747024892
100	0.2741699079
101	0.2729475841
102	0.2718033407
103	0.2710164409
104	0.2702123377
105	0.2692598256
106	0.2679554685
107	0.2668383626
108	0.2658472011
109	0.2652035051
110	0.2646123272
111	0.2637741284
112	0.2633000315
113	0.2626452817
114	0.2617869296
115	0.2609051231
116	0.2598374217
117	0.259145162
118	0.2583176991
119	0.2576772117
120	0.2569196357
121	0.2560810917
122	0.2556270703
123	0.2547461167
124	0.253623011
125	0.2531669142
126	0.2527383943
127	0.252167517
128	0.2513051505
129	0.2505242034
130	0.2495908013
131	0.2487973972
132	0.2480942106
133	0.2474671278
134	0.2467965299
135	0.2463635963
136	0.2457591477
137	0.2450310587
138	0.2438944349
139	0.2433248766
140	0.2426721007
141	0.242287646
142	0.241743743
143	0.2412231593
144	0.2405840566
145	0.2396898665
146	0.2390930607
147	0.2387475544
148	0.2380398302
149	0.237636332
150	0.2370408605
151	0.2367073255
152	0.2360392389
153	0.2356252184
154	0.2352417058
155	0.2345772907
156	0.2340011441
157	0.2335589497
158	0.2329675732
159	0.2324422707
160	0.2319030315
161	0.2315892958
162	0.2304782738
163	0.2299689022
164	0.2290826206
165	0.2287434713
166	0.2283946135
167	0.2278694746
168	0.2275730218
169	0.2270139152
170	0.2259633094
171	0.2255338969
172	0.2245363469
173	0.2241618707
174	0.2238799274
175	0.2234908147
176	0.222962233
177	0.2226263043
178	0.2218668183
179	0.2215925592
180	0.2210818652
181	0.2208120979
182	0.2204904
183	0.2200238267
184	0.2189316307
185	0.2186564094
186	0.2181397476
187	0.2178880502
188	0.2172878233
189	0.2170495612
190	0.2163354455
191	0.2153863275
192	0.21504474
193	0.2147423163
194	0.2141620789
195	0.2137925541
196	0.2133693666
197	0.2129743496
198	0.212392307
199	0.2121033525
