iter	Logloss
0	0.6095590107
1	0.5670382176
2	0.5433527366
3	0.5256699328
4	0.5182168408
5	0.5122967324
6	0.5050265537
7	0.4993807606
8	0.4928972086
9	0.4879061512
10	0.4850808682
11	0.4828695027
12	0.479101343
13	0.4774665884
14	0.4744816538
15	0.4731854591
16	0.468739576
17	0.4682495392
18	0.464242396
19	0.4626968487
20	0.4598756254
21	0.4566168144
22	0.4542719123
23	0.4499446706
24	0.4397837847
25	0.4369616562
26	0.4353823132
27	0.4335658247
28	0.4313876789
29	0.4264130256
30	0.4251010029
31	0.4182862151
32	0.4133896594
33	0.4083338637
34	0.407646018
35	0.4041955978
36	0.4032209281
37	0.4027785672
38	0.3961355008
39	0.3953113204
40	0.3913157808
41	0.3883068436
42	0.3835792936
43	0.3817122213
44	0.3803048192
45	0.377441708
46	0.3740013825
47	0.3699940199
48	0.3656617857
49	0.3642890296
50	0.3633310382
51	0.3629316626
52	0.3616233706
53	0.3576910332
54	0.3564859935
55	0.3552548389
56	0.3513080726
57	0.3472052482
58	0.343243806
59	0.3430497553
60	0.3401935295
61	0.3359756847
62	0.3335757823
63	0.3324841171
64	0.3298094606
65	0.3285048993
66	0.325284273
67	0.3216557123
68	0.320693908
69	0.3181896561
70	0.3172222557
71	0.3156661747
72	0.3147177844
73	0.3140278814
74	0.3125781524
75	0.3116559867
76	0.3089127513
77	0.3071323626
78	0.3059368416
79	0.3038332273
80	0.3029307573
81	0.3015882033
82	0.3012132692
83	0.2995458984
84	0.2982420778
85	0.2955475059
86	0.2951855743
87	0.2948264681
88	0.294100767
89	0.2900238106
90	0.2891135501
91	0.2870147362
92	0.2844687335
93	0.2834836124
94	0.2815062928
95	0.2807415291
96	0.2794013617
97	0.2779541839
98	0.2776281601
99	0.2769450876
100	0.2763797237
101	0.2757972426
102	0.2750917036
103	0.272441516
104	0.2721822331
105	0.2716277047
106	0.2708618987
107	0.270566516
108	0.270025045
109	0.2691621862
110	0.2684381035
111	0.2680123387
112	0.266963933
113	0.2649439848
114	0.2632023021
115	0.2630015307
116	0.262646841
117	0.2621515647
118	0.2618199449
119	0.2601610779
120	0.2588948385
121	0.2585658247
122	0.2577904725
123	0.2571031755
124	0.2561351716
125	0.255717938
126	0.253129389
127	0.2528819018
128	0.2520572277
129	0.2513759107
130	0.2510140614
131	0.2505840447
132	0.2499747356
133	0.249706126
134	0.2489315144
135	0.2486072189
136	0.247923488
137	0.2476260205
138	0.2473476727
139	0.2468004411
140	0.2457936765
141	0.2451627513
142	0.2449118351
143	0.2440509513
144	0.2438265065
145	0.2436521792
146	0.2435565254
147	0.2434752184
148	0.2433584972
149	0.2430856358
150	0.2426689508
151	0.241900621
152	0.2418367604
153	0.2412810525
154	0.2405713988
155	0.2402973304
156	0.2400025786
157	0.2393489675
158	0.238254998
159	0.237805889
160	0.2377537142
161	0.2373951018
162	0.2366796875
163	0.2359059537
164	0.2346261905
165	0.2341909344
166	0.2338034366
167	0.2335007022
168	0.2328071234
169	0.2326354569
170	0.2323732938
171	0.231937105
172	0.2317038821
173	0.2310605578
174	0.2300317108
175	0.2286726705
176	0.227859888
177	0.2276040341
178	0.2271364911
179	0.2267755333
180	0.2261539073
181	0.225660853
182	0.225443129
183	0.2251880843
184	0.2248346427
185	0.2244933122
186	0.2236822578
187	0.2226457163
188	0.2223668611
189	0.2221946185
190	0.2219312621
191	0.2217507352
192	0.2217292288
193	0.2216443145
194	0.2215543666
195	0.2213140663
196	0.2211772653
197	0.2210650566
198	0.2209116321
199	0.220372479
200	0.2202568826
201	0.2201660842
202	0.2196616184
203	0.2188829743
204	0.2185955879
205	0.2179974297
206	0.217589125
207	0.2172507571
208	0.2168557019
209	0.2166642024
210	0.2163811639
211	0.215687489
212	0.2154664046
213	0.2149920174
214	0.214433484
215	0.2142552202
216	0.2140737744
217	0.2132542848
218	0.2124182815
219	0.2121546645
220	0.2120872789
221	0.2118469787
222	0.2117541367
223	0.2116963384
224	0.211581414
225	0.2113121598
226	0.210615399
227	0.2099557941
228	0.20961338
229	0.2093935574
230	0.2091594842
231	0.2089798625
232	0.2088463121
233	0.2084620787
234	0.2084443853
235	0.2081655027
236	0.207988583
237	0.2078516997
238	0.2077828054
239	0.207458935
240	0.2072745814
241	0.2068642743
242	0.2065530087
243	0.2064231753
244	0.206016736
245	0.2055269323
246	0.2052982905
247	0.2050813071
248	0.2046337068
249	0.2044708046
